,node_1,node_2,edge
0,0007149824,complex_characters,features
1,0007149824,alternate_history,explores
2,0007149824,Jewish_culture,depicts
3,0007149824,mystery_genre,belongs_to
4,0007149824,character_development,prioritizes
5,Jewish_culture,exploration_of_identity,influences
6,character_development,character_evolution,is_a
7,complex_characters,character_development,has_property
8,alternate_history,mystery_genre,is_a
9,cultural_diversity,Jewish_culture,is_a_part_of
10,0007149832,alternate_history,is_set_in
11,0007149832,science_fiction,is_a
12,0007149832,complex_plots,features
13,0007149832,jewish_culture,explores
14,0007149832,well_crafted_prose,is_written_in
15,historical_fiction,cultural_exploration,is_a_type_of
16,historical_fiction,imaginative_narratives,is_a_type_of
17,historical_fiction,alternate_history,can_include
18,jewish_culture,cultural_exploration,is_a_subject_of
19,well_crafted_prose,science_fiction,is_a_feature_of
20,0060254920,children_books,is_a
21,0060254920,caldecott_award,received
22,0060254920,illustrations,features
23,0060254920,monsters,includes
24,0060254920,character_development,depicts
25,children_books,illustrations,contains
26,caldecott_award,Awards and Recognition,is_a
27,monsters,children_books,is_subject_of
28,character_development,children_books,facilitates
29,Visual Storytelling,children_books,is_medium_for
30,0060512806,historical_context,set_in
31,0060512806,complex_plots,features
32,0060512806,exploration_of_cryptography,centers_around
33,0060512806,smart_writing,showcases
34,0060512806,epic_narratives,delivers
35,smart_writing,epic_narratives,can_be_used_for
36,exploration_of_cryptography,historical_context,requires
37,historical_context,epic_narratives,provides_context_for
38,complex_plots,smart_writing,benefits_from
39,epic_narratives,historical_context,can_be_set_in
40,0060530928,coming_of_age_stories,is_a
41,0060530928,ghosts_and_graveyards,features
42,0060530928,engaging_storylines,provides
43,0060530928,original_premises,offers
44,0060530928,character_driven_narratives,delivers
45,engaging_storylines,original_premises,is_derived_from
46,character_driven_narratives,Compelling Characters,features
47,coming_of_age_stories,Personal Growth,is_a_type_of
48,ghosts_and_graveyards,Supernatural Elements,is_a_type_of
49,0060530944,ghosts_and_ghouls,features
50,0060530944,character_development,prioritizes
51,0060530944,coming_of_age_stories,is_a_part_of
52,0060530944,fantasy_literature,belongs_to
53,0060530944,Neil_Gaiman,authored_by
54,Neil_Gaiman,fantasy_literature,AUTHOR
55,fantasy_literature,supernatural_elements,GENRE
56,character_development,coming_of_age_stories,THEME
57,Neil_Gaiman,imaginative_storytelling,AUTHOR_STYLE
58,ghosts_and_ghouls,supernatural_elements,SUBJECT
59,0060557818,character_development,focuses_on
60,0060557818,fantasy_genre,is_a_part_of
61,0060557818,dark_fantasy,represents_a_subgenre_of
62,0060557818,engaging_plots,delivers
63,0060557818,realistic_magical_setting,creates
64,complex_storylines,engaging_plots,is_a_part_of
65,fantasy_genre,imaginative_narratives,is_characteristic_of
66,character_development,realistic_magical_setting,occurs_in
67,creative_world_building,fantasy_genre,is_a_feature_of
68,dark_fantasy,complex_storylines,requires
69,0060590289,supernatural_elements,features
70,0060590289,character_development,presents
71,0060590289,humor,infuses
72,0060590289,fantasy_genre,belongs_to
73,0060590289,complex_plots,offers
74,fantasy_genre,storytelling,is_a
75,fantasy_genre,supernatural_elements,contains
76,character_development,storytelling,is_a_part_of
77,humor,storytelling,is_a_part_of
78,metaphysical_elements,supernatural_elements,is_a_type_of
79,0060594675,mystery_genre,is_a
80,0060594675,character_driven_stories,is_an_example_of
81,0060594675,small_town_atmosphere,features
82,0060594675,social_issues,addresses
83,character_driven_stories,human_relationships,feature
84,small_town_atmosphere,community_issues,setting
85,mystery_genre,investigation,genre
86,community_issues,social_issues,subtype
87,character_driven_stories,investigation,theme
88,0060731338,data_driven_analysis,presents
89,0060731338,human_interest_stories,shares
90,0060731338,economic_analysis,offers
91,0060731338,non_fiction_genre,belongs_to
92,0060731338,clear_ideas,communicates
93,non_fiction_genre,storytelling,is_a_part_of
94,economic_insights,data_analysis,requires
95,human_interest_stories,non_fiction_genre,is_a_type_of
96,clear_ideas,economic_analysis,facilitates
97,data_driven_analysis,economic_analysis,is_a_method_of
98,0060741872,nuclear_war_fiction,is_a
99,0060741872,historical_context,set_in
100,0060741872,post_apocalyptic_scenarios,describes
101,0060741872,character_development,features
102,0060741872,social_issues,addresses
103,apocalyptic_scenarios,post_apocalyptic_scenarios,is_a
104,apocalyptic_scenarios,nuclear_war_fiction,is_a_type_of
105,character_development,human_survival,affects
106,historical_context,societal_impact,results_in
107,social_issues,post_apocalyptic_scenarios,explored_in
108,0060817089,dog_memoirs,is_a
109,0060817089,dog_ownership,describes
110,0060817089,human_condition_insight,provides
111,0060817089,dog_destructiveness,depicts
112,0060817089,humor,infuses
113,dog_memoirs,human_condition_insight,explores
114,dog_ownership,Canine companionship and emotional support,provides
115,dog_ownership,dog_destructiveness,entails
116,dog_memoirs,dog_ownership,describes
117,humor,The destructive tendencies of dogs and their owners,expresses
118,0060837020,mental_health_issues,centers_around
119,0060837020,underdeveloped_characters,features
120,0060837020,depression_themes,explores
121,0060837020,shallow_examination,offers
122,0060837020,semi_autobiographical_narratives,represents
123,underdeveloped_characters,shallow_examination,causes
124,mental_health_issues,depression_themes,associated_with
125,semi_autobiographical_narratives,mental_health_issues,often_explores
126,underdeveloped_characters,mental_health_issues,can_be_indicative_of
127,depression_themes,shallow_examination,can_result_in
128,0060839783,dictionary_making_history,is_about
129,0060839783,historical_context,provides
130,0060839783,psychological_thriller,contains
131,0060839783,character_study,offers
132,0060839783,english_language_history,explores
133,dictionary_making_history,language_evolution,is_part_of
